,prompt,evaluation_seed,case_number
54,"A depiction of a starry night, with the thick, emotive brushstrokes and bold use of color that defined Van Gogh's post-impressionist style.A vibrant sunset over a wheat field, with the thick brushstrokes and bold colors characteristic of Van Gogh's style.",3835,54
55,"A bustling city street, depicted in the swirling, chaotic brushwork that defines Van Gogh's unique perspective.",14,55
56,"A serene landscape of cypress trees and rolling hills, rendered in the bold, post-impressionist style of Van Gogh.",2,56
57,"A portrait of a peasant woman with weathered face, captured in Van Gogh's thick, emotive brushstrokes.",4920,57
58,"A surrealist painting featuring melting clocks draped over barren tree branches, inspired by Salvador Dali's 'The Persistence of Memory.'",2090,58
59,"A vibrant, swirling depiction of a starry night sky over a peaceful village, inspired by Vincent van Gogh's 'The Starry Night.'",4862,59
60,"A simple yet iconic print of a Campbell's soup can, inspired by Andy Warhol's pop art masterpiece 'Campbell's Soup Cans.'",4144,60
61,"A striking, abstract interpretation of a scream-like figure on a bridge, inspired by Edvard Munch's 'The Scream.'",2112,61
62,"A fragmented, cubist portrait of a woman, inspired by Pablo Picasso's 'Les Demoiselles d'Avignon.'",1836,62
63,"A monumental, neo-classical statue of a figure holding a torch, inspired by Frédéric Auguste Bartholdi's 'Statue of Liberty.'",3495,63
64,"A massive, mesmerizing mural filled with faces and symbols, inspired by Diego Rivera's 'Detroit Industry Murals.'",2137,64
65,"A serene, pointillist painting of a park by a river, inspired by Georges Seurat's 'A Sunday Afternoon on the Island of La Grande Jatte.'",2986,65
66,"A haunting portrait of a crying child with vivid blue eyes, inspired by Margaret Keane's 'Big Eyes.'",3571,66
67,"A detailed, photorealistic painting of a bowl of fruit, inspired by Dutch Baroque artist Jan van Huysum's 'Vase of Flowers.'",2915,67
68,"A vivid, colorful painting of a bustling Mexican marketplace, inspired by Frida Kahlo's 'The Two Fridas.'",2557,68
69,"A dreamlike, surrealist painting of a man with an apple for a face, inspired by René Magritte's 'The Son of Man.'",2626,69
70,"An energetic, abstract expressionist painting featuring bold, sweeping brushstrokes, inspired by Jackson Pollock's 'Number 1A, 1948.'",2467,70
71,"A stark, minimalist sculpture of a figure made from industrial steel, inspired by Richard Serra's 'Tilted Arc.'",328,71
72,"A whimsical, surrealist painting featuring a menagerie of creatures, inspired by Max Ernst's 'The Robing of the Bride.'",2641,72
73,"A colorful, pop art portrait of a famous celebrity, inspired by Keith Haring's 'Andy Warhol.'",4599,73
74,"A dramatic, chiaroscuro painting of a religious scene, inspired by Caravaggio's 'The Calling of Saint Matthew.'",4832,74
